	4f49b63a-11d8-46f2-b359-fddc8b911a60
	normal
A1BG	0.074725214
A1BG-AS1	1.144665069
A1CF	0.003740696
A2M	840.3497512
A2M-AS1	0.671896944
A2ML1	0.014756362
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.107989407
A3GALT2	0.117047589
A4GALT	8.332547431
A4GNT	0.13522268
AAAS	7.619008832
AACS	1.515532089
AACSP1	0.152331549
AADAC	2.038733213
AADACL2	0.021251373
AADACL2-AS1	0.414846146
AADACL3	0
AADACL4	0.015205039
AADACP1	0.79747105
AADAT	2.225286294
AAED1	12.23798576
AAGAB	10.03401675
AAK1	2.321452598
AAMDC	9.083700094
AAMP	26.6401728
AANAT	0.082013482
AAR2	16.7929017
AARD	1.677944149
AARS	25.41473442
AARS2	3.819523161
AARSD1	0.888996027
AARSP1	0
AASDH	2.413318064
AASDHPPT	4.707863004
AASS	4.668569651
AATBC	0.380788898
AATF	10.94269314
AATK	6.709269309
AB015752.1	0
ABALON	0.38382137
ABAT	2.069392716
ABBA01006766.1	0
ABCA1	7.260339196
ABCA10	0.551329653
ABCA11P	0.467800195
ABCA12	0.011444957
ABCA13	1.944184746
ABCA17P	0.072856515
ABCA2	3.975723539
ABCA3	120.0404132
ABCA4	0.248210537
ABCA5	1.634385703
ABCA6	1.603467595
ABCA7	3.637842409
ABCA8	7.776742557
ABCA9	1.429434229
ABCA9-AS1	0.008009343
ABCB1	2.384069473
ABCB10	5.441178267
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.020921319
ABCB4	0.055923257
ABCB5	0.016815554
ABCB6	0.391080617
ABCB7	6.628014779
ABCB8	3.316696876
ABCB9	0.249551518
ABCC1	12.21107659
ABCC10	2.906461192
ABCC11	0.089246969
ABCC12	0.008029753
ABCC13	0.113910163
ABCC2	0.194058215
ABCC3	6.256006116
ABCC4	5.418071347
ABCC5	3.507103207
ABCC5-AS1	0.33190104
ABCC6	3.988682656
ABCC6P1	0.520000372
ABCC6P2	0.822723913
ABCC8	0.049464608
ABCC9	2.444907984
ABCD1	4.274194687
ABCD1P2	0.007479056
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.23418149
ABCD3	9.293799579
ABCD4	4.678163464
ABCE1	10.76032587
ABCF1	18.80678108
ABCF2	11.05869195
ABCF2P1	0
ABCF2P2	0
ABCF3	8.906314432
ABCG1	20.6047718
ABCG2	7.772705911
ABCG4	0.032460128
ABCG5	0.090126643
ABCG8	0
ABHD1	0.093102129
ABHD10	6.016710986
ABHD11	8.165733737
ABHD11-AS1	2.145872456
ABHD12	17.0792298
ABHD12B	0.665519841
ABHD13	5.746966429
ABHD14A	5.785571734
ABHD14A-ACY1	0.088532113
ABHD14B	20.94023942
ABHD15	5.853643748
ABHD15-AS1	0.064031916
ABHD16A	1.52810094
ABHD16B	0
ABHD17A	5.285788257
ABHD17AP1	0.077003012
ABHD17AP3	0.021062389
ABHD17AP4	0.05269073
ABHD17AP5	0.02594576
ABHD17AP6	0.080285228
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	5.847375533
ABHD17C	9.59370055
ABHD18	1.864994909
ABHD2	36.6846739
ABHD3	3.7161537
ABHD4	8.305285633
ABHD5	12.27973484
ABHD6	5.528243378
ABHD8	6.458357566
ABI1	16.73460009
ABI1P1	0
ABI2	3.261008727
ABI3	6.33801254
ABI3BP	20.19039236
ABL1	19.96615333
ABL2	3.847711019
ABLIM1	32.41013932
ABLIM2	1.072886563
ABLIM3	6.461799643
ABO	4.718730978
ABR	14.74018099
ABRA	0.008692536
ABRACL	17.35227574
ABRAXAS1	0.852973954
ABRAXAS2	7.615796018
ABT1	9.139844915
ABT1P1	0
ABTB1	7.621745316
ABTB2	0.753640072
AC000032.1	0
AC000036.1	0.129767144
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0
AC000067.1	0
AC000068.1	0.239821969
AC000068.2	0.312364391
AC000068.3	0
AC000077.1	0
AC000078.1	0.50915701
AC000081.1	0.040316392
AC000089.1	0.612899751
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.173317351
AC000123.1	1.972456019
AC000123.2	1.19479944
AC000123.3	0.917001392
AC000124.1	0.012511984
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.734804192
AC001226.1	0.022215155
AC002044.1	0.151569219
AC002044.2	0.111098675
AC002044.3	0.066399085
AC002056.1	0.031510443
AC002056.2	0.295133022
AC002059.1	0.376539884
AC002064.1	0.196026766
AC002064.2	0.745783493
AC002064.3	0
AC002066.1	0.839066204
AC002069.1	0
AC002069.2	0
AC002070.1	0.874702522
AC002075.1	0
AC002075.2	0.712736209
AC002076.1	0
AC002076.2	0
AC002090.1	0
AC002091.1	1.246840506
AC002091.2	1.45951355
AC002094.1	0.011403779
AC002094.2	0
AC002094.3	0
AC002094.4	0.078006308
AC002094.5	0.133255609
AC002101.1	0
AC002115.1	0.02108093
AC002116.1	0
AC002116.2	0.27933052
AC002127.1	0
AC002127.2	0
