	779250be-012c-4e5b-9b4e-258192607c4b
	normal
A1BG	0.050850568
A1BG-AS1	0.70690818
A1CF	0.001631761
A2M	293.6589853
A2M-AS1	1.143780875
A2ML1	0.019310993
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.208616593
A3GALT2	0.091904974
A4GALT	4.96236892
A4GNT	0.221199859
AAAS	5.244724558
AACS	1.491619891
AACSP1	0.074176559
AADAC	5.232660361
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0.019898156
AADACP1	0.249221439
AADAT	2.176214817
AAED1	27.46279447
AAGAB	11.79425182
AAK1	1.340110223
AAMDC	11.08095854
AAMP	24.62254245
AANAT	0.107327384
AAR2	13.1381731
AARD	1.325306298
AARS	14.52713598
AARS2	2.486459337
AARSD1	1.146467402
AARSP1	0
AASDH	2.053841164
AASDHPPT	4.21206603
AASS	5.324522951
AATBC	0.524041254
AATF	5.591132844
AATK	2.814270547
AB015752.1	0.081331131
ABALON	0.197622255
ABAT	0.865183838
ABBA01006766.1	0
ABCA1	3.167093973
ABCA10	1.019795301
ABCA11P	0.629038486
ABCA12	0.009985003
ABCA13	0.06736518
ABCA17P	0.071508053
ABCA2	1.747439693
ABCA3	58.95851851
ABCA4	0.185339642
ABCA5	1.485046215
ABCA6	1.063034844
ABCA7	2.668753692
ABCA8	4.754040822
ABCA9	1.337393854
ABCA9-AS1	0.01048147
ABCB1	1.074161144
ABCB10	5.574265546
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0
ABCB4	0.056456438
ABCB5	0.023698517
ABCB6	0.258905404
ABCB7	7.270364187
ABCB8	3.365246891
ABCB9	0.287670658
ABCC1	6.063125798
ABCC10	1.481099303
ABCC11	0.019465588
ABCC12	0.027321268
ABCC13	0.309829992
ABCC2	0.135778096
ABCC3	2.040626907
ABCC4	5.274703711
ABCC5	2.363960435
ABCC5-AS1	0
ABCC6	2.502109562
ABCC6P1	0.493249252
ABCC6P2	0.960266172
ABCC8	0.587212849
ABCC9	2.07586064
ABCD1	1.795382005
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.140671479
ABCD3	10.27216841
ABCD4	4.537075733
ABCE1	10.21225622
ABCF1	12.44437639
ABCF2	9.617479434
ABCF2P1	0
ABCF2P2	0
ABCF3	6.485195828
ABCG1	13.70883324
ABCG2	3.620085345
ABCG4	0.004997544
ABCG5	0.105307782
ABCG8	0.011759698
ABHD1	0.081225735
ABHD10	8.138335999
ABHD11	7.810939061
ABHD11-AS1	3.510259407
ABHD12	12.9873333
ABHD12B	0.158672572
ABHD13	7.027631397
ABHD14A	5.515399883
ABHD14A-ACY1	0.050687886
ABHD14B	18.02448134
ABHD15	2.560738147
ABHD15-AS1	0.251387134
ABHD16A	1.347006473
ABHD16B	0
ABHD17A	5.470007672
ABHD17AP1	0.033590135
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	0.016977029
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	4.739597568
ABHD17C	7.63832447
ABHD18	2.715840817
ABHD2	10.19559307
ABHD3	6.16599014
ABHD4	5.320801186
ABHD5	16.29718272
ABHD6	5.898550318
ABHD8	4.608764116
ABI1	19.34763109
ABI1P1	0
ABI2	2.478314457
ABI3	7.241539382
ABI3BP	11.63173473
ABL1	8.254358217
ABL2	3.529457404
ABLIM1	13.92994402
ABLIM2	0.626895539
ABLIM3	5.892711578
ABO	3.060468887
ABR	7.665607901
ABRA	0.022751068
ABRACL	31.06537452
ABRAXAS1	1.239157229
ABRAXAS2	6.378948515
ABT1	16.13739454
ABT1P1	0
ABTB1	8.152168447
ABTB2	0.545118651
AC000032.1	0.031914049
AC000036.1	0.054033786
AC000041.1	0
AC000041.2	0
AC000058.1	0.029234698
AC000061.1	0.250049968
AC000067.1	0.109197199
AC000068.1	0.10461477
AC000068.2	0.136259113
AC000068.3	0
AC000077.1	0
AC000078.1	0.735239789
AC000081.1	0
AC000089.1	1.291144404
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0.324762653
AC000120.1	0.236674104
AC000123.1	1.730966057
AC000123.2	1.461608056
AC000123.3	0.529150967
AC000124.1	0.049121624
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.205433893
AC001226.1	0.174431889
AC002044.1	0.991759367
AC002044.2	0.226162033
AC002044.3	0.086893519
AC002056.1	0
AC002056.2	0.055175345
AC002059.1	0.427059484
AC002064.1	0.106888117
AC002064.2	0.596428297
AC002064.3	0
AC002066.1	1.769795816
AC002069.1	0
AC002069.2	0
AC002070.1	0.804372651
AC002075.1	0
AC002075.2	0.559635643
AC002076.1	0
AC002076.2	0
AC002090.1	0
AC002091.1	1.209697152
AC002091.2	0.623673552
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.102083375
AC002094.5	0.249122385
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	0.731094774
AC002127.1	0
AC002127.2	0
AC002128.1	0.508959974
AC002128.2	0.684602825
AC002306.1	0
AC002310.1	0.420262781
AC002310.2	0.016339727
AC002310.3	0.043346606
AC002310.4	0
AC002310.5	0
AC002310.6	0.238972954
AC002347.1	0.057929013
AC002347.2	0
AC002350.1	0.565758571
AC002351.1	0.026380131
AC002366.1	0
AC002367.1	0.038690859
AC002368.1	0.040386077
AC002375.1	0
AC002378.1	0
AC002381.1	0
AC002383.1	0
AC002386.1	0
AC002398.1	1.35780451
AC002398.2	0.118710591
AC002400.1	0.043167488
AC002401.1	0.033482474
AC002401.2	0.072882781
AC002401.3	0.213679064
AC002401.4	0.537557393
AC002428.1	0
AC002428.2	0
AC002429.1	0.105877013
AC002429.2	0.024398284
AC002451.1	0.555879699
AC002451.2	0
AC002454.1	0.070478852
AC002456.1	0.483321691
AC002456.2	0
AC002460.1	0
AC002463.1	0
AC002464.1	0.010241698
AC002465.1	0
AC002467.1	1.41728864
AC002470.1	0.634725995
AC002472.1	0
AC002480.1	0.18334397
AC002480.2	0.322158676
AC002480.3	0.506384854
AC002480.4	0.006045447
AC002486.1	0
AC002486.2	0
AC002487.1	0
AC002504.1	0
AC002511.1	0.047009394
AC002511.2	0.10446532
AC002519.1	0.028061959
AC002519.2	0.139716992
AC002524.1	0.372408362
AC002525.1	0.792184609
AC002540.1	0.011615862
AC002542.1	0
AC002543.1	0.048116063
AC002545.1	0
AC002546.1	0.134159229
AC002550.1	0.01136316
AC002550.2	0.159084244
AC002551.1	0.07940776
AC002553.1	1.250457695
AC002553.2	1.136178706
AC002558.1	0.117084418
AC002558.2	0.046567007
AC002558.3	0.039076803
AC002563.1	0.138978253
AC002984.1	0.279817821
AC002985.1	0
AC002996.1	0.019986987
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0
AC003002.3	0.129502463
AC003005.1	0
AC003005.2	0.023599093
AC003006.1	0
AC003009.1	0
