	00068002-f4f0-4610-bfe6-67169c760d21
	tumor
A1BG	0.064198517
A1BG-AS1	0.480861884
A1CF	0.005951364
A2M	18.52213474
A2M-AS1	0.612704034
A2ML1	20.16286643
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0
A3GALT2	0
A4GALT	61.94750907
A4GNT	0
AAAS	15.11641153
AACS	3.176433553
AACSP1	0.008454282
AADAC	0.376894731
AADACL2	0.129606761
AADACL2-AS1	0.225003726
AADACL3	0
AADACL4	0
AADACP1	1.81792275
AADAT	3.48925604
AAED1	3.974992871
AAGAB	18.96582413
AAK1	2.581814825
AAMDC	4.338530418
AAMP	29.5583239
AANAT	0.247915065
AAR2	18.21790086
AARD	0.521277289
AARS	30.5194694
AARS2	9.048678236
AARSD1	1.218932173
AARSP1	0
AASDH	1.498155451
AASDHPPT	7.902969305
AASS	1.761459142
AATBC	2.68517988
AATF	21.16791525
AATK	1.055800617
AB015752.1	0
ABALON	0.720768636
ABAT	0.237542419
ABBA01006766.1	0
ABCA1	4.828877326
ABCA10	0.013599273
ABCA11P	0.235568417
ABCA12	1.326198152
ABCA13	6.462964847
ABCA17P	0.039120666
ABCA2	1.697552865
ABCA3	1.01427551
ABCA4	7.676108708
ABCA5	1.298687718
ABCA6	0.040386507
ABCA7	2.670732648
ABCA8	0.0432076
ABCA9	0.050028184
ABCA9-AS1	0.066899101
ABCB1	0.113199429
ABCB10	6.761161076
ABCB10P1	0.013102005
ABCB10P3	0
ABCB10P4	0
ABCB11	0.005547558
ABCB4	0.019065568
ABCB5	0
ABCB6	1.932481571
ABCB7	5.81130836
ABCB8	3.96371442
ABCB9	1.330841767
ABCC1	109.9523852
ABCC10	6.41648941
ABCC11	0.031553318
ABCC12	0.007665095
ABCC13	0.005330251
ABCC2	0.293458005
ABCC3	3.236809896
ABCC4	2.777511146
ABCC5	21.67200255
ABCC5-AS1	0.182785543
ABCC6	0.449858621
ABCC6P1	0.008328614
ABCC6P2	0.159194837
ABCC8	0.00843183
ABCC9	0.23518908
ABCD1	6.332103446
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.022904355
ABCD3	3.549606596
ABCD4	2.678645112
ABCE1	13.95705476
ABCF1	33.23802004
ABCF2	27.21351272
ABCF2P1	0.015305556
ABCF2P2	0
ABCF3	23.61990335
ABCG1	6.003603752
ABCG2	0.554062393
ABCG4	0.04556765
ABCG5	0.222765786
ABCG8	0.235895089
ABHD1	0.129607978
ABHD10	14.08436929
ABHD11	11.12308722
ABHD11-AS1	0.56331578
ABHD12	20.21700147
ABHD12B	0.430818341
ABHD13	2.32329625
ABHD14A	2.751801248
ABHD14A-ACY1	0.066024661
ABHD14B	15.8290584
ABHD15	12.2750432
ABHD15-AS1	0
ABHD16A	1.30732962
ABHD16B	0
ABHD17A	7.261400592
ABHD17AP1	0.122510067
ABHD17AP3	0.075397027
ABHD17AP4	0.597287119
ABHD17AP5	0
ABHD17AP6	0.082113429
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	12.747423
ABHD17C	31.33296306
ABHD18	0.906878368
ABHD2	12.82512539
ABHD3	5.105100576
ABHD4	29.08800628
ABHD5	5.053858915
ABHD6	2.468207495
ABHD8	8.818313457
ABI1	41.66409681
ABI1P1	0
ABI2	1.844527139
ABI3	1.803419524
ABI3BP	0.416476199
ABL1	24.882881
ABL2	3.565198213
ABLIM1	28.16150375
ABLIM2	0.070859993
ABLIM3	0.150293146
ABO	0.30581243
ABR	3.650944397
ABRA	0
ABRACL	71.93875385
ABRAXAS1	0.418876681
ABRAXAS2	4.612952396
ABT1	17.44179444
ABT1P1	0
ABTB1	2.476943768
ABTB2	1.741075485
AC000032.1	0
AC000036.1	0
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0
AC000067.1	0.199132218
AC000068.1	0.395178218
AC000068.2	0.124241188
AC000068.3	0
AC000077.1	0
AC000078.1	0.377095688
AC000081.1	0
AC000089.1	1.641038412
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.08991653
AC000123.1	0.886061185
AC000123.2	0.247943369
AC000123.3	0.591612813
AC000124.1	0
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.127533493
AC001226.1	0.106031441
AC002044.1	0
AC002044.2	0
AC002044.3	0
AC002056.1	0.075198614
AC002056.2	0
AC002059.1	1.138226397
AC002064.1	0
AC002064.2	0
AC002064.3	0
AC002066.1	0.023557686
AC002069.1	0
AC002069.2	0
AC002070.1	0.056417519
AC002075.1	0
AC002075.2	0.566973675
AC002076.1	0.325337456
AC002076.2	0
AC002090.1	0
AC002091.1	0.410419723
AC002091.2	0.284333067
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0
AC002094.5	0
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	1.377666672
AC002127.1	0
AC002127.2	0.036080143
AC002128.1	0.393756521
AC002128.2	0.184954519
AC002306.1	0.03049677
AC002310.1	0.954079839
AC002310.2	0.074492892
AC002310.3	0.039523476
AC002310.4	0
AC002310.5	0.037723397
AC002310.6	2.760013028
AC002347.1	0
AC002347.2	0.334216061
AC002350.1	0.468962909
AC002351.1	1.154564575
AC002366.1	0
AC002367.1	0.070556724
AC002368.1	0
AC002375.1	0
AC002378.1	0
AC002381.1	0
AC002383.1	0
AC002386.1	0
AC002398.1	2.676859319
AC002398.2	0
AC002400.1	0.039360156
AC002401.1	0
AC002401.2	0
AC002401.3	0.064944257
AC002401.4	0
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	0
AC002451.2	0
AC002454.1	0
AC002456.1	0.046388755
AC002456.2	0
AC002460.1	0
AC002463.1	0
AC002464.1	0
AC002465.1	0
AC002467.1	1.887607479
AC002470.1	1.085144553
AC002472.1	0.050755725
AC002480.1	0.178318086
AC002480.2	1.127979206
AC002480.3	0.205209862
AC002480.4	0
AC002486.1	0
AC002486.2	0
AC002487.1	0
AC002504.1	0
AC002511.1	0.142877366
AC002511.2	0.190503155
AC002519.1	0
AC002519.2	0.01959909
AC002524.1	1.097047418
AC002525.1	0.352348622
AC002540.1	0.021182708
AC002542.1	0.148059447
AC002543.1	0
AC002545.1	0.315751085
AC002546.1	0.048930605
AC002550.1	0
AC002550.2	1.668111381
AC002551.1	0
AC002553.1	0.819496115
AC002553.2	0.517984409
AC002558.1	0.106757683
AC002558.2	0.127379524
AC002558.3	0.142521063
AC002563.1	0.063360251
AC002984.1	0
AC002985.1	0.041716019
AC002996.1	0.036448308
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0.164542072
AC003002.3	0.141696561
AC003005.1	0
AC003005.2	0.043035351
AC003006.1	0
AC003009.1	0
AC003035.1	0.052528443
AC003035.2	0.041056714
AC003043.1	0.084793689
AC003045.1	0
AC003070.1	1.938380022
AC003070.2	0
AC003071.1	0.03621733
AC003071.2	0
AC003072.1	1.727602139
AC003080.1	0.037256158
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0
AC003098.1	0
AC003101.1	0
AC003101.2	0
AC003101.3	0
AC003102.1	0.553898338
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.064935034
AC003682.1	0.061851674
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.080268183
AC003957.1	0
AC003958.1	0
AC003958.2	0.00702618
AC003965.1	0.171367156
AC003965.2	0.323495923
AC003973.1	0
AC003973.2	0
AC003973.3	0.02025193
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.005906464
AC003991.2	0.049610197
AC004000.1	0.065994164
AC004004.1	0
AC004006.1	0
AC004009.1	0.5039766
AC004009.2	0.039252024
AC004009.3	0
AC004012.1	0.053512122
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	3.2393249
AC004034.1	1.176637133
AC004039.1	0.015972875
AC004052.1	0
AC004053.1	0
AC004054.1	0.105835086
AC004057.1	0.172141405
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	0.204110523
AC004069.1	0.832800677
AC004069.2	0
AC004074.1	0
AC004076.1	0.083391459
AC004076.2	0.318174092
AC004080.1	0
AC004080.2	0.051394736
AC004080.3	0
AC004080.4	0.225714638
AC004080.5	0
AC004080.6	0.06218819
AC004112.1	0.121253776
AC004129.1	0
AC004129.2	0
AC004130.1	2.742735153
AC004134.1	0.127002103
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0.053412099
AC004147.5	0
AC004148.1	0
AC004148.2	0.943668878
AC004149.1	0.156150127
AC004156.1	0.075917835
AC004158.1	0.016319516
AC004160.1	0.01009734
AC004160.2	0
AC004217.1	0.038049898
AC004217.2	0
AC004221.1	0.778715503
AC004223.1	0
AC004223.2	0
AC004223.3	0.014273463
AC004223.4	0.34428281
AC004224.1	0
AC004224.2	0.054017908
AC004231.1	0.03506193
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.489865255
AC004233.1	0
AC004233.2	0
AC004233.3	0.180144827
AC004233.4	0.068526315
AC004241.1	0.051825841
AC004241.2	0
AC004241.3	0.33163025
AC004241.4	0
AC004241.5	0
AC004253.1	0.468450381
AC004253.2	0
AC004257.1	0
AC004263.1	0.168586863
AC004264.1	0.323903349
AC004264.2	0.049353149
AC004381.1	0
AC004383.1	0.29663121
AC004386.1	0.037549899
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.006815043
AC004448.3	0
AC004449.1	0.131988329
AC004453.1	3.081668681
AC004453.2	0
AC004461.1	0.212720644
AC004466.1	0.026458772
AC004466.2	0.110757648
AC004466.3	0
AC004467.1	0
AC004470.1	0
AC004471.1	0.932876274
AC004471.2	0.301986507
AC004477.1	0.097427457
AC004477.2	0
AC004477.3	0.774928087
AC004485.1	0
AC004486.1	0.61320758
AC004490.1	0.031309868
AC004491.1	0.030367134
AC004492.1	0.231068517
AC004494.1	0.019340422
AC004494.2	0
AC004520.1	0.303348973
AC004522.1	0
AC004522.2	0
AC004528.1	0
AC004528.2	0
AC004540.1	0.033578699
AC004540.2	0.097195487
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0
AC004552.1	0
AC004554.1	0
AC004584.1	0.208200169
AC004584.2	0
AC004584.3	0.18193213
AC004585.1	0.166968541
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.016527168
AC004596.1	0.324721287
AC004597.1	0
AC004623.1	0.134346372
AC004637.1	0.118570428
AC004656.1	3.116694717
AC004672.1	0.013685571
AC004672.2	0.049783054
AC004674.1	0
AC004674.2	0
AC004678.1	1.261134986
AC004678.2	0.541850291
AC004687.1	0.05275472
AC004690.1	0
AC004690.2	0
AC004691.1	0.052240353
AC004691.2	0.018664581
AC004692.1	0
AC004692.2	0.023714086
AC004696.1	0.329535935
AC004696.2	0.431653674
AC004702.1	0
AC004704.1	0.147043602
AC004706.1	0.552654203
AC004706.2	0
AC004706.3	0.145200575
AC004707.1	0.11989709
AC004754.1	0.025491056
AC004771.1	0.294087203
AC004771.2	0
AC004771.3	0.103722226
AC004771.4	0
AC004771.5	0
AC004775.1	0
AC004777.1	0
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.079376315
AC004801.2	0.183411253
AC004801.3	0
AC004801.4	0
AC004801.5	0
AC004801.6	0.262964478
AC004801.7	0
AC004803.1	0.397206087
AC004805.1	0
AC004805.2	0
AC004805.3	0
AC004808.1	0
AC004808.2	0.147867908
AC004812.1	0
AC004812.2	1.596623862
AC004816.1	4.869005214
AC004816.2	0.30185359
AC004817.1	0
AC004817.2	0
AC004817.3	0
AC004817.4	0
AC004824.1	0
AC004825.1	0
AC004825.2	0.753638854
AC004828.1	0.043693384
AC004830.1	0.062734299
AC004832.1	0.011798296
AC004832.2	0
AC004832.3	0
AC004832.4	0.431653674
AC004832.5	0.285042127
AC004832.6	0.162360643
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.50818215
AC004837.3	0
AC004839.1	0.114073745
AC004840.1	0.046999134
AC004840.2	0.100264818
AC004846.1	0.618354503
AC004846.2	0.147106683
AC004847.1	0.164484671
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0
AC004854.2	0.178472768
AC004858.1	0
AC004862.1	0.007482449
AC004865.1	0
AC004865.2	0.194202245
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0.15119298
AC004877.1	0.006981547
AC004877.2	0.810990058
AC004882.1	0
AC004882.2	0
AC004884.1	0
AC004884.2	0.785040473
AC004888.1	0
AC004889.1	0.343058149
AC004890.1	0.631502171
AC004890.2	0.09366814
