	3ceffeff-4dd6-4ff9-8fa2-eb88199c498b
	tumor
A1BG	0.425565474
A1BG-AS1	3.507802696
A1CF	0.004494416
A2M	49.5520592
A2M-AS1	0.246121583
A2ML1	0.709186045
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.013901615
A3GALT2	0.021094761
A4GALT	5.484809854
A4GNT	0.097481379
AAAS	13.2254057
AACS	4.444979641
AACSP1	1.538688056
AADAC	0.517504565
AADACL2	0
AADACL2-AS1	0.067968316
AADACL3	0
AADACL4	0
AADACP1	0.042902466
AADAT	1.310288228
AAED1	4.597283018
AAGAB	7.17830002
AAK1	3.053075265
AAMDC	2.732200377
AAMP	52.65780355
AANAT	0.443423432
AAR2	24.00864053
AARD	0.742593305
AARS	16.47521459
AARS2	4.508791637
AARSD1	3.577236336
AARSP1	0
AASDH	2.295245055
AASDHPPT	4.062599158
AASS	1.743881045
AATBC	8.461072232
AATF	16.00870842
AATK	1.341596293
AB015752.1	0.336019833
ABALON	0.669057531
ABAT	0.868158521
ABBA01006766.1	0
ABCA1	7.164159941
ABCA10	0.490394838
ABCA11P	0.038673728
ABCA12	5.509576961
ABCA13	1.299955515
ABCA17P	0.55476269
ABCA2	13.84122457
ABCA3	6.357288944
ABCA4	0.171039644
ABCA5	3.283404821
ABCA6	0.154022612
ABCA7	4.253056254
ABCA8	0.120922907
ABCA9	0.231407611
ABCA9-AS1	0.180434284
ABCB1	0.159823878
ABCB10	5.11103851
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.020947331
ABCB4	0.046074065
ABCB5	0.237782642
ABCB6	1.998372961
ABCB7	3.640252568
ABCB8	3.113558235
ABCB9	1.190135904
ABCC1	10.25866208
ABCC10	3.024875967
ABCC11	0.089357931
ABCC12	0
ABCC13	0.002012679
ABCC2	0.242393425
ABCC3	2.733967899
ABCC4	2.003713609
ABCC5	22.42684128
ABCC5-AS1	0.092025332
ABCC6	0.382552191
ABCC6P1	0.025158776
ABCC6P2	0.100185424
ABCC8	0.060492604
ABCC9	0.417578743
ABCD1	2.74273752
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.069188651
ABCD3	3.630619042
ABCD4	8.72155419
ABCE1	15.91714357
ABCF1	18.37372328
ABCF2	18.26629396
ABCF2P1	0.034675855
ABCF2P2	0
ABCF3	19.02698411
ABCG1	2.936789795
ABCG2	0.218114084
ABCG4	0.110119294
ABCG5	0.040607415
ABCG8	0.008097539
ABHD1	0.205079347
ABHD10	5.014603821
ABHD11	8.993998741
ABHD11-AS1	0.348063554
ABHD12	24.23573939
ABHD12B	0.548724857
ABHD13	2.280083621
ABHD14A	2.522802113
ABHD14A-ACY1	0.378945349
ABHD14B	15.00560232
ABHD15	6.308167426
