	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
A1BG	0.188222317
A1BG-AS1	1.258149382
A1CF	0.002962984
A2M	57.69818308
A2M-AS1	0.655521613
A2ML1	6.804613712
A2ML1-AS1	0.031475146
A2ML1-AS2	0
A2MP1	0.149691118
A3GALT2	0.055627629
A4GALT	13.26477953
A4GNT	0.008033182
AAAS	7.529390462
AACS	2.352269452
AACSP1	0.374610113
AADAC	0.102350835
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0.296980207
AADAT	0.758824491
AAED1	3.962643343
AAGAB	13.12811679
AAK1	4.223194542
AAMDC	3.492623481
AAMP	28.9609837
AANAT	0.28583457
AAR2	18.83291673
AARD	0.02359331
AARS	63.16329897
AARS2	10.64524889
AARSD1	0.879570582
AARSP1	0
AASDH	1.815792663
AASDHPPT	4.077281175
AASS	4.809396856
AATBC	0.893186381
AATF	9.621325898
AATK	0.452514006
AB015752.1	0.024613782
ABALON	0.59060143
ABAT	3.016471545
ABBA01006766.1	0
ABCA1	7.540812756
ABCA10	0.597507249
ABCA11P	0.260059165
ABCA12	1.231394898
ABCA13	1.834845579
ABCA17P	0.045446013
ABCA2	2.593536739
ABCA3	2.065469756
ABCA4	1.719147079
ABCA5	0.671441081
ABCA6	1.164200066
ABCA7	2.337971001
ABCA8	0.745313993
ABCA9	0.488806713
ABCA9-AS1	0.142743472
ABCB1	0.25973772
ABCB10	3.322698658
ABCB10P1	0.221783607
ABCB10P3	0.045977545
ABCB10P4	0.032570435
ABCB11	0.008285828
ABCB4	0.08542894
ABCB5	0.012294926
ABCB6	1.61537344
ABCB7	4.857219129
ABCB8	6.042108776
ABCB9	0.525569344
ABCC1	27.3435627
ABCC10	5.917405367
ABCC11	0.047128004
ABCC12	0.001908096
ABCC13	0.013268762
ABCC2	0.141537147
ABCC3	1.17051924
ABCC4	1.972351252
ABCC5	2.872461294
ABCC5-AS1	0
ABCC6	0.338777338
ABCC6P1	0.053904972
ABCC6P2	0.171725125
ABCC8	0.008395849
ABCC9	2.396663861
ABCD1	3.384444472
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.171049608
