	54e1ee85-dbfa-499a-9bdd-6935a7661970
	tumor
A1BG	0.477096365
A1BG-AS1	7.801012398
A1CF	0
A2M	125.6322253
A2M-AS1	0.645220597
A2ML1	0.980529825
A2ML1-AS1	0
A2ML1-AS2	0.033009465
A2MP1	0.005472044
A3GALT2	0.012455184
A4GALT	3.528524523
A4GNT	0.035973048
AAAS	5.440913939
AACS	2.781249474
AACSP1	0.35435368
AADAC	0.962499012
AADACL2	0.010050604
AADACL2-AS1	0.220721558
AADACL3	0
AADACL4	0.008089939
AADACP1	0.373636959
AADAT	0.162422957
AAED1	9.593424001
AAGAB	14.93562472
AAK1	3.465526841
AAMDC	7.797131297
AAMP	44.15348173
AANAT	0.029090533
AAR2	31.72881295
AARD	31.65867741
AARS	39.06061833
AARS2	8.288893303
AARSD1	0.829033076
AARSP1	0
AASDH	3.775406165
AASDHPPT	11.68242506
AASS	0.235905152
AATBC	0.954186204
AATF	16.83660589
AATK	24.68503489
AB015752.1	0
ABALON	0.575818291
ABAT	2.989267251
ABBA01006766.1	0
ABCA1	13.48931361
ABCA10	0.022739417
ABCA11P	0.219211244
ABCA12	0.472263923
ABCA13	0.010020174
ABCA17P	0.649293269
ABCA2	17.2743801
ABCA3	14.4086485
ABCA4	1.420055039
ABCA5	1.083592519
ABCA6	0.28993092
ABCA7	2.03147674
ABCA8	1.480085349
ABCA9	0.090623425
ABCA9-AS1	0.008522845
ABCB1	0.743958072
ABCB10	3.754237216
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.01731539
ABCB4	0.13431954
ABCB5	0.023399385
ABCB6	0.822515966
ABCB7	13.04625204
ABCB8	3.661724139
ABCB9	0.485085901
ABCC1	21.21254037
ABCC10	4.410633023
ABCC11	0.441429268
ABCC12	0
ABCC13	0.14141548
ABCC2	0.02862374
ABCC3	2.609560631
ABCC4	0.961449752
ABCC5	7.214442086
ABCC5-AS1	0
ABCC6	3.2734874
ABCC6P1	0.215393736
ABCC6P2	0.828148329
ABCC8	0.093992723
ABCC9	0.358118448
ABCD1	11.46538117
ABCD1P2	0.007958559
ABCD1P3	0
ABCD1P4	0.021095453
ABCD1P5	0
ABCD2	0.627074006
ABCD3	10.55393251
ABCD4	2.512295478
ABCE1	16.45534224
ABCF1	26.08334524
ABCF2	15.14790111
ABCF2P1	0.006824667
ABCF2P2	0
ABCF3	11.20981661
ABCG1	5.093747152
ABCG2	1.603219613
ABCG4	0.085337179
ABCG5	0.017125878
ABCG8	0
ABHD1	0.222910138
ABHD10	10.61171811
ABHD11	12.96431245
ABHD11-AS1	6.028309222
ABHD12	72.47767662
ABHD12B	0.011468635
ABHD13	3.871667687
ABHD14A	6.440482593
ABHD14A-ACY1	0.07065612
ABHD14B	14.44269054
ABHD15	15.12539278
ABHD15-AS1	0
ABHD16A	1.623003791
ABHD16B	0
ABHD17A	3.142346233
ABHD17AP1	0.027313298
ABHD17AP3	0.112063796
ABHD17AP4	0.939153784
ABHD17AP5	0.069023042
ABHD17AP6	0.976371922
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	13.89137359
ABHD17C	5.958049208
ABHD18	2.414456002
ABHD2	12.83279736
ABHD3	6.589705403
ABHD4	14.250616
ABHD5	5.83657713
ABHD6	3.227128199
ABHD8	48.9602363
ABI1	25.3987253
ABI1P1	0
ABI2	2.312841409
ABI3	8.098420702
ABI3BP	6.017988142
ABL1	30.24010996
ABL2	2.328809431
ABLIM1	14.3474298
ABLIM2	0.499218367
ABLIM3	0.495557738
ABO	0.054143004
ABR	7.521591047
ABRA	0
ABRACL	24.77189817
ABRAXAS1	1.005963135
ABRAXAS2	4.786637242
ABT1	12.51265811
ABT1P1	0
ABTB1	2.515590738
ABTB2	0.661038935
AC000032.1	0
AC000036.1	0.012553353
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0
AC000067.1	0.044396006
AC000068.1	0.650146368
AC000068.2	0.332390963
AC000068.3	0
AC000077.1	0
AC000078.1	0.168144989
AC000081.1	0
AC000089.1	0.556751405
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.048111971
AC000123.1	0.123465635
AC000123.2	0.193474132
AC000123.3	0.169035002
AC000124.1	0
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.383848978
AC001226.1	0.023639432
AC002044.1	0
AC002044.2	0.013135725
AC002044.3	0
AC002056.1	0
AC002056.2	0
AC002059.1	0.40068093
AC002064.1	0.017382883
AC002064.2	0.044088767
AC002064.3	0
AC002066.1	0.157563729
AC002069.1	0
AC002069.2	0
AC002070.1	0.100625102
AC002075.1	0.0188486
AC002075.2	0.101124235
AC002076.1	0.411021083
AC002076.2	0.104439783
AC002090.1	0
AC002091.1	1.669911511
AC002091.2	1.806652374
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.041503758
AC002094.5	0.020257001
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	1.644723557
AC002127.1	0
AC002127.2	0
AC002128.1	0.338606936
AC002128.2	0.391733686
AC002306.1	0.067991748
AC002310.1	0.86478656
AC002310.2	0.026572792
AC002310.3	0.052869932
AC002310.4	0
AC002310.5	0
AC002310.6	1.31395411
AC002347.1	0.02355204
AC002347.2	0.149025188
AC002350.1	0.306691881
AC002351.1	0.021450595
AC002366.1	0
AC002367.1	0.062921746
AC002368.1	0
AC002375.1	0
AC002378.1	0.085514454
AC002381.1	0
AC002383.1	0
AC002386.1	0
AC002398.1	3.67031239
AC002398.2	0.019305536
AC002400.1	0.017550487
AC002401.1	0
AC002401.2	0.770425565
AC002401.3	1.187290448
AC002401.4	0.196697911
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	0.048865402
AC002451.2	0
AC002454.1	0.076411716
AC002456.1	0.041369005
AC002456.2	0
AC002460.1	0
AC002463.1	0.010725298
AC002464.1	0
AC002465.1	0
AC002467.1	1.243088154
AC002470.1	1.870926349
AC002472.1	0
AC002480.1	0.019877775
AC002480.2	0.073348335
AC002480.3	0.0228755
AC002480.4	0
AC002486.1	0.032587349
AC002486.2	0
AC002487.1	0
AC002504.1	0.055318322
AC002511.1	0.025483307
AC002511.2	0
AC002519.1	0.009127259
AC002519.2	0.017478263
AC002524.1	1.094803873
AC002525.1	0.542030886
AC002540.1	0
AC002542.1	0
AC002543.1	0.013041611
AC002545.1	0
AC002546.1	0.0218179
AC002550.1	0
AC002550.2	0.549766779
AC002551.1	0.021523063
AC002553.1	0.254197578
AC002553.2	0.307955374
AC002558.1	0.031735127
AC002558.2	0.037865241
AC002558.3	0
AC002563.1	0.056504007
AC002984.1	0.056882382
AC002985.1	0.037201908
AC002996.1	0
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0.048912298
AC003002.3	0.126363507
AC003005.1	0
AC003005.2	0.153513899
AC003006.1	0.015296103
AC003009.1	0
AC003035.1	0.163955101
AC003035.2	0.036613947
AC003043.1	0
AC003045.1	0
AC003070.1	0.362454041
AC003070.2	0
AC003071.1	0
AC003071.2	0
AC003072.1	3.726725476
AC003080.1	0.016612325
AC003084.1	0
AC003087.1	0
AC003092.1	0.011975238
AC003092.2	0.02856873
AC003098.1	0
AC003101.1	0
AC003101.2	0
AC003101.3	0
AC003102.1	0.601618832
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.1176264
AC003682.1	0.055158674
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0.026056551
AC003688.2	0
AC003956.1	0.143164647
AC003957.1	0.019067196
AC003958.1	0
AC003958.2	0.01879762
AC003965.1	1.719263602
AC003965.2	0.240408558
AC003973.1	0
AC003973.2	0.009140354
AC003973.3	0.564389333
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0.035197938
AC003985.2	0.007634304
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.060574211
AC003991.2	0.110604632
AC004000.1	0.058852903
AC004004.1	0.254833072
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.047721549
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0.014611988
AC004024.1	0.154756926
AC004034.1	0.099934538
AC004039.1	0.021366663
AC004052.1	0
AC004053.1	0.022159398
AC004054.1	0
AC004057.1	0.127928249
AC004062.1	0
AC004063.1	0
AC004066.1	0.015887349
AC004066.2	0.222756182
AC004067.1	0.218428347
AC004069.1	1.346112765
AC004069.2	0
AC004074.1	0
AC004076.1	0.024789209
AC004076.2	0.080522036
AC004080.1	0
AC004080.2	0.068749929
AC004080.3	0.016655756
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0.162199268
AC004129.1	0
AC004129.2	0
AC004130.1	0.312853101
AC004134.1	0.169888714
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	0.519396611
AC004149.1	0.092835363
AC004156.1	0.054162183
AC004158.1	0.002425596
AC004160.1	1.470017631
AC004160.2	1.968958902
AC004217.1	0
AC004217.2	0
AC004221.1	0.090580476
AC004223.1	0
AC004223.2	0
AC004223.3	0
