	62ff3cee-843e-4192-a4a6-8489cc2d0508
	tumor
A1BG	0.098420234
A1BG-AS1	0.317619328
A1CF	0
A2M	23.22150198
A2M-AS1	0.404703824
A2ML1	0.782820232
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.03527588
A3GALT2	0
A4GALT	30.65662665
A4GNT	0
AAAS	13.22019453
AACS	1.727111835
AACSP1	0.009720697
AADAC	5.613877191
AADACL2	0.045354306
AADACL2-AS1	0.465674952
AADACL3	0.040572925
AADACL4	0.020860924
AADACP1	1.469699773
AADAT	0.771525275
AAED1	3.558329749
AAGAB	21.61824115
AAK1	1.727136567
AAMDC	2.857774772
AAMP	56.70268145
AANAT	0.090016315
AAR2	15.27838988
AARD	0.177084334
AARS	26.39141066
AARS2	5.786867817
AARSD1	1.649894065
AARSP1	0
AASDH	4.680596931
AASDHPPT	4.931315894
AASS	2.025318067
AATBC	0.370758621
AATF	10.22479548
AATK	0.416967139
AB015752.1	0.170532638
ABALON	0.604287137
ABAT	1.237493376
ABBA01006766.1	0
ABCA1	5.393008284
ABCA10	0.097727409
ABCA11P	0.494605773
ABCA12	0.352426874
ABCA13	1.991269996
ABCA17P	0.029987181
ABCA2	2.531112734
ABCA3	0.812557573
ABCA4	4.154569596
ABCA5	1.543166146
ABCA6	0.241468399
ABCA7	3.062943091
ABCA8	0.023378781
ABCA9	0.089878419
ABCA9-AS1	0.395590093
ABCB1	0.288607251
ABCB10	3.018486461
ABCB10P1	0.1054524
ABCB10P3	0.015168954
ABCB10P4	0
ABCB11	0
ABCB4	0.109607536
ABCB5	0
ABCB6	0.391367763
ABCB7	8.473960092
ABCB8	5.440799734
ABCB9	0.931961102
ABCC1	16.47785779
ABCC10	5.085092121
ABCC11	0.054419801
ABCC12	0
ABCC13	0
ABCC2	0.142347687
ABCC3	0.358838701
ABCC4	17.6949004
ABCC5	22.50608502
ABCC5-AS1	0
ABCC6	0.147784425
ABCC6P1	0.028728611
ABCC6P2	0.15253461
ABCC8	0
ABCC9	0.322201817
ABCD1	2.359605551
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.479302965
ABCD3	5.977782463
ABCD4	2.146933764
ABCE1	22.90739204
ABCF1	22.49721256
ABCF2	20.82305237
ABCF2P1	0
ABCF2P2	0
ABCF3	32.10506984
ABCG1	3.333368405
ABCG2	0.725162372
ABCG4	0.03667544
ABCG5	0.017664492
ABCG8	0
ABHD1	0.070963186
ABHD10	30.22399826
ABHD11	15.55956974
ABHD11-AS1	0.471053117
ABHD12	23.91614567
ABHD12B	0.007393329
ABHD13	3.416083736
ABHD14A	5.043071299
ABHD14A-ACY1	0.045548921
ABHD14B	9.552237449
ABHD15	3.494146654
ABHD15-AS1	0
ABHD16A	2.515818364
ABHD16B	0
ABHD17A	7.160981869
ABHD17AP1	0.105646157
ABHD17AP3	0
ABHD17AP4	0.253016155
ABHD17AP5	0.391566093
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	7.483918087
ABHD17C	14.41241364
ABHD18	1.695693252
ABHD2	5.472287128
ABHD3	6.780397478
ABHD4	8.678169913
ABHD5	4.909748624
ABHD6	1.437276379
ABHD8	11.41781601
ABI1	22.62839001
ABI1P1	0
ABI2	1.073088923
ABI3	5.123709583
ABI3BP	1.254021235
ABL1	8.23492943
ABL2	1.422593206
ABLIM1	7.379358938
ABLIM2	0.238991902
ABLIM3	0.195544092
ABO	1.59263993
ABR	1.854794278
ABRA	0
ABRACL	81.37324837
ABRAXAS1	1.174483152
ABRAXAS2	10.12472943
ABT1	72.67527772
ABT1P1	0
ABTB1	5.824197572
ABTB2	0.693721148
AC000032.1	0
AC000036.1	0
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0
AC000067.1	0
AC000068.1	0.235021137
AC000068.2	0.142851978
AC000068.3	0
AC000077.1	0
AC000078.1	0.048175887
AC000081.1	0
AC000089.1	4.142885702
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.020677127
AC000123.1	0.063674331
AC000123.2	0.498897363
AC000123.3	0.118875817
AC000124.1	0.034332241
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.018329682
AC001226.1	0.060957245
AC002044.1	0.623847245
AC002044.2	0.033872118
AC002044.3	0
AC002056.1	0.302620637
AC002056.2	0
AC002059.1	1.170966947
AC002064.1	0
AC002064.2	0
AC002064.3	0.094959407
AC002066.1	0.081259575
AC002069.1	0
AC002069.2	0
AC002070.1	0.129737236
AC002075.1	0
AC002075.2	1.694950056
AC002076.1	0.374071593
AC002076.2	0
AC002090.1	0
AC002091.1	0.707848221
AC002091.2	0.326924925
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.107022654
AC002094.5	0
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	1.328545611
AC002127.1	0
AC002127.2	0
AC002128.1	0.517416613
AC002128.2	0.372154829
AC002306.1	0.070130107
AC002310.1	2.697533245
AC002310.2	0.068521282
AC002310.3	0.045443921
AC002310.4	0
AC002310.5	0
AC002310.6	0.596513343
AC002347.1	0.121463789
AC002347.2	0
AC002350.1	0.467316646
AC002351.1	0
AC002366.1	0
AC002367.1	0.243377444
AC002368.1	0.084680296
AC002375.1	0
AC002378.1	0
AC002381.1	0
AC002383.1	0
AC002386.1	0
AC002398.1	1.538920605
AC002398.2	0
AC002400.1	0
AC002401.1	0
AC002401.2	0
AC002401.3	0.14934525
AC002401.4	0
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	0
AC002451.2	0
