	80980cc8-30b5-4668-a7ea-e3cca5a44e2f
	tumor
A1BG	0.160187022
A1BG-AS1	1.857520881
A1CF	0.002265214
A2M	124.7688403
A2M-AS1	0.34236929
A2ML1	0.696996847
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.016348506
A3GALT2	0.021263787
A4GALT	11.00577659
A4GNT	0.024565618
AAAS	9.278344214
AACS	1.327283659
AACSP1	0.022525145
AADAC	1.349772452
AADACL2	0.015013802
AADACL2-AS1	0.102769392
AADACL3	0.013431004
AADACL4	0
AADACP1	0.270288949
AADAT	2.119826991
AAED1	3.519673944
AAGAB	13.19472657
AAK1	4.456902646
AAMDC	7.181912621
AAMP	32.57732444
AANAT	0.079462483
AAR2	21.01279456
AARD	0.157825438
AARS	62.91788312
AARS2	6.331507933
AARSD1	0.869174536
AARSP1	0
AASDH	1.9677593
AASDHPPT	7.748772804
AASS	2.430671838
AATBC	0.238772614
AATF	12.93219665
AATK	0.433309875
AB015752.1	0
ABALON	0.502956176
ABAT	1.460013024
ABBA01006766.1	0
ABCA1	9.114158592
ABCA10	0.069878296
ABCA11P	0.214409857
ABCA12	0.699990967
ABCA13	2.7159706
ABCA17P	0.026471378
ABCA2	2.398406193
ABCA3	16.58362486
ABCA4	0.257288976
ABCA5	0.971257188
ABCA6	0.404282436
ABCA7	1.134829811
ABCA8	0.627839662
ABCA9	0.296337717
ABCA9-AS1	0.014550404
ABCB1	0.520779674
ABCB10	5.673324389
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0.084660835
ABCB11	0.010557588
ABCB4	0.133524328
ABCB5	0.044647752
ABCB6	0.754349713
ABCB7	5.621318485
ABCB8	3.089576392
ABCB9	0.355155327
ABCC1	16.21485062
ABCC10	4.047543401
ABCC11	0.034528341
ABCC12	0.002917497
ABCC13	0.052748948
ABCC2	0.102970027
ABCC3	1.439028034
ABCC4	4.244018376
ABCC5	6.763900028
ABCC5-AS1	0.046381353
ABCC6	0.500727173
ABCC6P1	0.053890779
ABCC6P2	0.030296455
ABCC8	0.072209978
ABCC9	1.085642861
ABCD1	3.538114904
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.190049788
ABCD3	4.245553148
ABCD4	3.75943108
ABCE1	16.11933399
ABCF1	31.80687682
ABCF2	20.46665838
ABCF2P1	0.023302469
ABCF2P2	0
ABCF3	15.2315936
ABCG1	5.408894738
ABCG2	0.675289731
ABCG4	0.083251237
ABCG5	0.008771312
ABCG8	0.004081211
ABHD1	0.06577537
ABHD10	6.955729076
ABHD11	3.107550656
ABHD11-AS1	0.272885273
ABHD12	14.96499971
ABHD12B	0.105239958
ABHD13	3.188761469
ABHD14A	2.131377258
ABHD14A-ACY1	0.050260755
ABHD14B	11.62996655
ABHD15	4.381456097
ABHD15-AS1	0
ABHD16A	1.22566048
ABHD16B	0
ABHD17A	3.394565027
ABHD17AP1	0.058287392
ABHD17AP3	0.019131798
ABHD17AP4	0.023930533
ABHD17AP5	0.035351335
ABHD17AP6	0.104180338
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	5.267293112
ABHD17C	5.331758405
ABHD18	0.996991872
ABHD2	15.88831023
ABHD3	3.208620788
ABHD4	13.84539799
ABHD5	4.591278736
ABHD6	1.536458245
ABHD8	4.955910538
ABI1	21.40216846
ABI1P1	0
ABI2	1.658199473
ABI3	6.864194752
ABI3BP	3.463653656
ABL1	20.13248182
ABL2	5.176907011
ABLIM1	6.604528945
ABLIM2	0.22835283
ABLIM3	1.451193898
ABO	0.701815422
ABR	10.18161411
ABRA	0.007895773
ABRACL	18.84341029
ABRAXAS1	0.690877599
ABRAXAS2	8.139144625
ABT1	12.37013807
