	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
A1BG	0.102858998
A1BG-AS1	0.895019369
A1CF	0.002860586
A2M	118.7234587
A2M-AS1	1.240670975
A2ML1	2.82112247
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.005898692
A3GALT2	0.0268526
A4GALT	11.39691683
A4GNT	0.108577905
AAAS	11.30540536
AACS	3.000660429
AACSP1	0.178800183
AADAC	0.395254818
AADACL2	0.222101874
AADACL2-AS1	0.129780519
AADACL3	0
AADACL4	0
AADACP1	0.286716902
AADAT	11.18713008
AAED1	3.571839869
AAGAB	10.35597528
AAK1	3.177784782
AAMDC	10.43387281
AAMP	47.21551676
AANAT	0.200695597
AAR2	19.59500297
AARD	0.113889759
AARS	76.10188641
AARS2	8.909602733
AARSD1	1.505521761
AARSP1	0
AASDH	4.716093184
AASDHPPT	10.56512357
AASS	10.63864804
AATBC	0.82286636
AATF	16.01360558
AATK	3.292012298
AB015752.1	0
ABALON	0.73619585
ABAT	2.196150809
ABBA01006766.1	0
ABCA1	4.811522221
ABCA10	0.186294106
ABCA11P	0.364300274
ABCA12	0.784779785
ABCA13	7.009411314
ABCA17P	0.513969549
ABCA2	4.883751918
ABCA3	25.32299971
ABCA4	0.187578558
ABCA5	4.430140244
ABCA6	0.229064007
ABCA7	2.068391564
ABCA8	0.408033892
ABCA9	0.324628807
ABCA9-AS1	0.606365836
ABCB1	0.378507886
ABCB10	7.758268857
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.010665972
ABCB4	0.087975052
ABCB5	0
ABCB6	3.319646879
ABCB7	11.48754231
ABCB8	4.060506599
ABCB9	1.041681271
ABCC1	99.39320289
ABCC10	8.791962503
ABCC11	0.075832187
ABCC12	0.036843093
ABCC13	0
ABCC2	0.035263427
ABCC3	4.603131692
ABCC4	5.283948796
ABCC5	30.49310945
ABCC5-AS1	0.234287504
ABCC6	0.33797189
ABCC6P1	0.008006473
ABCC6P2	0.153037381
ABCC8	0.283699423
ABCC9	0.894748102
ABCD1	7.63169544
ABCD1P2	0
ABCD1P3	0.045405306
ABCD1P4	0
ABCD1P5	0
ABCD2	0.110092217
ABCD3	3.189452482
ABCD4	5.209597332
ABCE1	20.0600495
ABCF1	25.67246896
ABCF2	19.27484824
ABCF2P1	0
ABCF2P2	0
ABCF3	20.79653683
ABCG1	13.7687639
ABCG2	0.628959013
ABCG4	0.061327211
ABCG5	0.036922325
ABCG8	0.030923313
ABHD1	0.421249438
ABHD10	9.393156831
ABHD11	23.48588934
ABHD11-AS1	1.476893003
ABHD12	24.00939602
ABHD12B	0.018544246
ABHD13	2.619396182
ABHD14A	3.546406404
ABHD14A-ACY1	0.050776728
ABHD14B	15.63394734
ABHD15	11.50965085
ABHD15-AS1	0
ABHD16A	2.275403851
ABHD16B	0
ABHD17A	4.582097231
ABHD17AP1	0.147214415
ABHD17AP3	0.024160255
ABHD17AP4	2.689602506
ABHD17AP5	2.321426186
ABHD17AP6	0.210499692
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	6.535663313
ABHD17C	17.98022559
ABHD18	2.099094761
ABHD2	13.09913439
ABHD3	4.731469953
ABHD4	18.04799537
ABHD5	6.668367463
ABHD6	3.643304512
ABHD8	7.234236262
ABI1	18.31347324
ABI1P1	0
ABI2	3.39801233
ABI3	4.507530364
ABI3BP	1.176079307
ABL1	26.43723193
ABL2	3.932900228
ABLIM1	21.23646758
ABLIM2	0.390550182
ABLIM3	0.844067348
ABO	5.360884518
ABR	6.160796917
ABRA	0.019942076
ABRACL	30.17144717
ABRAXAS1	2.430179296
ABRAXAS2	6.51866611
ABT1	16.50634516
ABT1P1	0
ABTB1	4.5657106
ABTB2	3.446895426
AC000032.1	0
AC000036.1	0
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0
AC000067.1	0
AC000068.1	0.576389716
AC000068.2	0.776332018
AC000068.3	0
AC000077.1	0
AC000078.1	1.127809203
AC000081.1	0
AC000089.1	0.788782555
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.311179218
AC000123.1	1.650342065
AC000123.2	1.31094277
AC000123.3	0.634989776
AC000124.1	0.114818014
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.114938117
AC001226.1	0.101930278
AC002044.1	0.869310439
AC002044.2	0
AC002044.3	0
AC002056.1	0.036145013
AC002056.2	0.096726091
AC002059.1	0.518305846
AC002064.1	0.037476412
AC002064.2	0.190105259
AC002064.3	0
AC002066.1	0.430283584
AC002069.1	0
AC002069.2	0
AC002070.1	0.16270608
AC002075.1	0.040636405
AC002075.2	0
AC002076.1	0.417005083
AC002076.2	0
AC002090.1	0
AC002091.1	0.986363011
AC002091.2	0.88834012
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.357918044
AC002094.5	0.305709808
AC002101.1	0
AC002115.1	0.096726091
AC002116.1	0
AC002116.2	1.110770539
AC002127.1	0
AC002127.2	0
