	944c32ab-2edb-486a-92db-fecd68f690af
	tumor
A1BG	0.031412488
A1BG-AS1	0.387472421
A1CF	0
A2M	23.55922427
A2M-AS1	0.861120622
A2ML1	1.230297641
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.07025551
A3GALT2	0.024601843
A4GALT	6.063163073
A4GNT	0.483174084
AAAS	17.51033499
AACS	3.601415397
AACSP1	0
AADAC	6.171213019
AADACL2	0.709717809
AADACL2-AS1	1.506097707
AADACL3	0
AADACL4	0
AADACP1	2.376670089
AADAT	2.347070289
AAED1	4.382310973
AAGAB	20.0986916
AAK1	1.491426289
AAMDC	4.46878613
AAMP	43.47437116
AANAT	0.563112595
AAR2	15.89922465
AARD	0.25042473
AARS	41.13109274
AARS2	8.344334957
AARSD1	2.792634634
AARSP1	0
AASDH	1.80618971
AASDHPPT	7.729813118
AASS	1.75970965
AATBC	2.251356344
AATF	18.60614839
AATK	0.743912306
AB015752.1	0
ABALON	0.251280096
ABAT	0.749038255
ABBA01006766.1	0
ABCA1	1.822716949
ABCA10	0.18265661
ABCA11P	0.414951085
ABCA12	2.02870361
ABCA13	9.363001749
ABCA17P	0.187589988
ABCA2	4.043791726
ABCA3	1.518962046
ABCA4	17.49247733
ABCA5	2.023667056
ABCA6	0.062247826
ABCA7	6.7077732
ABCA8	0.031339286
ABCA9	0.28364937
ABCA9-AS1	1.422521347
ABCB1	0.299099258
ABCB10	9.686247329
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.00488598
ABCB4	0.033583781
ABCB5	0.005437547
ABCB6	7.267441135
ABCB7	10.5839862
ABCB8	5.43197151
ABCB9	1.245981263
ABCC1	67.98099146
ABCC10	5.389739375
ABCC11	0.135478224
ABCC12	0
ABCC13	0.180741632
ABCC2	11.59845834
ABCC3	14.30374796
ABCC4	4.464455762
ABCC5	49.42686151
ABCC5-AS1	0.321974653
ABCC6	0.732489851
ABCC6P1	0.07335379
ABCC6P2	0.210314919
ABCC8	0.02227886
ABCC9	0.114588884
ABCD1	3.852742763
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.096829825
ABCD3	3.571474968
ABCD4	5.915224032
ABCE1	16.05268487
ABCF1	35.96258026
ABCF2	24.76595298
ABCF2P1	0.013480281
ABCF2P2	0
