	b7fcdf45-6b26-46e8-aa40-2761354d1251
	tumor
A1BG	0.024492251
A1BG-AS1	0.163936435
A1CF	0
A2M	54.52679508
A2M-AS1	4.684977225
A2ML1	17.74990151
A2ML1-AS1	0.1447138
A2ML1-AS2	0
A2MP1	0.017557075
A3GALT2	0.015985004
A4GALT	22.93706348
A4GNT	0.101569313
AAAS	12.03331265
AACS	4.072415727
AACSP1	0.01935226
AADAC	58.74408566
AADACL2	0.319249315
AADACL2-AS1	1.030088778
AADACL3	0
AADACL4	0
AADACP1	4.892793705
AADAT	1.311065276
AAED1	6.553789548
AAGAB	28.09773403
AAK1	1.818963211
AAMDC	4.679402266
AAMP	32.13766271
AANAT	0.209075097
AAR2	11.82285143
AARD	0.894921656
AARS	31.53831035
AARS2	4.249865171
AARSD1	1.814509448
AARSP1	0
AASDH	2.77580595
AASDHPPT	9.13241675
AASS	3.031172536
AATBC	0.550233101
AATF	14.14987219
AATK	0.856380233
AB015752.1	0.113167193
ABALON	0.37809617
ABAT	1.015328296
ABBA01006766.1	0
ABCA1	12.59226809
ABCA10	0.103116115
ABCA11P	0.328225421
ABCA12	1.080220276
ABCA13	9.232556812
ABCA17P	0.221385258
ABCA2	3.659962061
ABCA3	6.872978306
ABCA4	0.113657064
ABCA5	4.490208106
ABCA6	0.158314913
ABCA7	1.114021254
ABCA8	0.343256036
ABCA9	0.22008722
ABCA9-AS1	0.913342513
ABCB1	1.380090094
ABCB10	7.546199009
ABCB10P1	0.014995561
ABCB10P3	0.007549704
ABCB10P4	0.007487481
ABCB11	0.031746572
ABCB4	0.074191409
ABCB5	0.008832591
ABCB6	2.544794252
ABCB7	8.352519948
ABCB8	2.883084544
ABCB9	0.516749449
ABCC1	25.14963453
ABCC10	5.349057447
ABCC11	0.056427396
ABCC12	0.002193221
ABCC13	0.036603602
ABCC2	0.144319041
ABCC3	4.129837417
ABCC4	4.000848875
ABCC5	34.86356674
ABCC5-AS1	0.13946831
ABCC6	0.428340594
ABCC6P1	0.166815237
ABCC6P2	0.227752916
ABCC8	0.019300867
ABCC9	0.647176432
ABCD1	2.993931255
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.104858348
ABCD3	5.648072397
ABCD4	1.930094929
ABCE1	16.38920161
ABCF1	21.04912288
ABCF2	24.30105179
ABCF2P1	0.017517578
ABCF2P2	0
ABCF3	17.15349057
ABCG1	14.65621455
ABCG2	0.458737969
ABCG4	0.052153275
ABCG5	0.048354638
ABCG8	0.061360823
ABHD1	0.621612969
ABHD10	19.49760974
ABHD11	16.4812517
ABHD11-AS1	0.556810982
ABHD12	12.10831208
ABHD12B	0.099352341
ABHD13	3.951841621
ABHD14A	2.228032646
ABHD14A-ACY1	0.166246999
ABHD14B	14.50580729
ABHD15	8.540531447
ABHD15-AS1	0
ABHD16A	1.307267736
ABHD16B	0
ABHD17A	3.457525957
ABHD17AP1	0.122688763
ABHD17AP3	0.028764572
ABHD17AP4	0
ABHD17AP5	0.035433715
ABHD17AP6	0.422913604
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	14.08130316
ABHD17C	23.80536019
ABHD18	1.660206828
ABHD2	7.954237012
ABHD3	14.98182259
ABHD4	9.337489029
ABHD5	7.062781627
ABHD6	5.522268917
ABHD8	5.445953524
ABI1	29.81704673
ABI1P1	0.014600589
ABI2	1.384274237
ABI3	1.744461218
ABI3BP	0.834167357
ABL1	11.79288341
ABL2	2.105603796
ABLIM1	23.6932159
ABLIM2	0.189235602
ABLIM3	0.509252368
ABO	3.250457786
ABR	4.689745506
ABRA	0.029678148
ABRACL	87.67750859
ABRAXAS1	1.587534758
ABRAXAS2	6.853688114
ABT1	16.67427829
ABT1P1	0
ABTB1	4.547576436
ABTB2	0.874684776
AC000032.1	0
AC000036.1	0.008055497
AC000041.1	0
AC000041.2	0
AC000058.1	0.091526078
AC000061.1	0
AC000067.1	0
AC000068.1	0.389906041
AC000068.2	0.497689633
AC000068.3	0
AC000077.1	0
AC000078.1	0.023977506
AC000081.1	0
AC000089.1	1.143257084
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.102911639
AC000123.1	0.792280008
AC000123.2	0.567554338
AC000123.3	0.315548804
AC000124.1	0.017087418
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.191579273
AC001226.1	0.303388856
AC002044.1	0.413991376
AC002044.2	0.050575235
AC002044.3	0
AC002056.1	0.258199885
AC002056.2	0.230319146
AC002059.1	0.857057618
AC002064.1	0.022309221
AC002064.2	0
AC002064.3	0.094524043
AC002066.1	0.404435104
AC002069.1	0
AC002069.2	0
AC002070.1	0.11299962
AC002075.1	0
AC002075.2	0.324457527
AC002076.1	0.341326856
AC002076.2	0
AC002090.1	0
AC002091.1	1.350488924
AC002091.2	1.586452027
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.266329957
AC002094.5	0.18198508
AC002101.1	0
AC002115.1	0.028789893
AC002116.1	0.01447138
AC002116.2	3.738477334
AC002127.1	0
AC002127.2	0
AC002128.1	0.901327681
AC002128.2	0.370448594
AC002306.1	0.017452144
AC002310.1	2.479303034
AC002310.2	0.008525891
AC002310.3	0.067853358
AC002310.4	0
AC002310.5	0.010793835
AC002310.6	1.080676835
AC002347.1	0
AC002347.2	0.191259174
AC002350.1	0.590413303
AC002351.1	0.963540535
AC002366.1	0
AC002367.1	0.080753873
AC002368.1	0.252876176
AC002375.1	0
AC002378.1	0
AC002381.1	0
AC002383.1	0.02437058
AC002386.1	0
AC002398.1	1.723348176
AC002398.2	0.024776757
AC002400.1	0.067572973
AC002401.1	0.139766319
AC002401.2	0.152117761
AC002401.3	0.185825675
AC002401.4	0.224393267
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	0.031356969
AC002451.2	0
AC002454.1	0.171617115
AC002456.1	0.05309305
AC002456.2	0
AC002460.1	0
AC002463.1	0.247767566
AC002464.1	0.032064038
AC002465.1	0
AC002467.1	7.910432779
AC002470.1	5.920076679
AC002472.1	0
AC002480.1	0.012755585
AC002480.2	0.087411419
AC002480.3	0.05871691
AC002480.4	0
AC002486.1	0
AC002486.2	0
AC002487.1	0
AC002504.1	0
AC002511.1	0
AC002511.2	0.145356972
AC002519.1	0.00585697
AC002519.2	0.022431631
AC002524.1	0.926750348
AC002525.1	0.342780776
AC002540.1	0.072732362
AC002542.1	0
AC002543.1	0.016737625
AC002545.1	0
AC002546.1	0
AC002550.1	0
AC002550.2	0.78858002
AC002551.1	0.027622735
AC002553.1	0.876763532
AC002553.2	0.494038047
AC002558.1	0.08145783
AC002558.2	0
AC002558.3	0
AC002563.1	0
AC002984.1	0.547522077
AC002985.1	0
AC002996.1	0.020857984
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0.094161186
AC003002.3	0.054058378
AC003005.1	0
AC003005.2	0.049254998
AC003006.1	0.019631044
AC003009.1	0
AC003035.1	0.060120071
AC003035.2	0.070485601
AC003043.1	0.29114527
AC003045.1	0
AC003070.1	0.966130859
AC003070.2	0.042364402
AC003071.1	0.041451608
AC003071.2	0
AC003072.1	1.336001582
AC003080.1	0
AC003084.1	0
AC003087.1	0
AC003092.1	0.030738082
AC003092.2	0
AC003098.1	0
AC003101.1	0
AC003101.2	0.073993934
AC003101.3	0
AC003102.1	1.414196187
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.094890348
AC003682.1	0.035395367
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0.039403998
AC003956.1	0.275606618
AC003957.1	0.012235435
AC003958.1	0
AC003958.2	0.012062449
AC003965.1	1.348420187
AC003965.2	0.740497782
AC003973.1	0
AC003973.2	0
AC003973.3	0.011589411
AC003975.1	0
AC003976.1	0
AC003982.1	0.044801806
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0.047786848
AC003986.3	0.023631011
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.020280272
AC003991.2	0
AC004000.1	0.49095744
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.275606618
AC004014.1	0
AC004014.2	0.003192632
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	1.787537663
AC004034.1	1.635265936
AC004039.1	0.054844022
AC004052.1	0
AC004053.1	0.227515261
AC004054.1	0.060565405
AC004057.1	0.295529988
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0.371651349
AC004067.1	0.140165652
AC004069.1	1.221236856
AC004069.2	0.014679227
AC004074.1	0
AC004076.1	0.047721769
AC004076.2	0.157473698
AC004080.1	0.064805783
AC004080.2	0.499991383
AC004080.3	0
AC004080.4	0.284169436
AC004080.5	0
AC004080.6	0
AC004112.1	0.092518582
AC004129.1	0
AC004129.2	0
AC004130.1	7.847816433
AC004134.1	0.072678486
AC004147.1	0
AC004147.2	0.020364457
AC004147.3	0.087214183
AC004147.4	0.641880087
AC004147.5	0
AC004148.1	0.041087084
AC004148.2	1.155992947
AC004149.1	0.148931324
AC004156.1	0.095578774
AC004158.1	0
AC004160.1	0.037559112
AC004160.2	0.029045576
AC004217.1	0
AC004217.2	0
AC004221.1	0.368128587
AC004223.1	0
AC004223.2	0.120240142
AC004223.3	0
AC004223.4	0.049254998
AC004224.1	0.115159573
AC004224.2	0
AC004231.1	0
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.062295845
AC004233.1	0.053791643
AC004233.2	0.033304805
AC004233.3	0.051545026
AC004233.4	0.078430021
AC004241.1	0.148289815
AC004241.2	0.110490942
AC004241.3	1.454975494
AC004241.4	0.029201177
AC004241.5	0.046760055
AC004253.1	0.904757792
AC004253.2	0
AC004257.1	0.177104614
AC004263.1	0.120594833
AC004264.1	0.205952889
AC004264.2	0.122386052
AC004381.1	0.046588773
AC004383.1	0.226334386
AC004386.1	0.085953531
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.179399554
AC004448.3	0.028840669
AC004449.1	0.226595742
AC004453.1	4.929845836
AC004453.2	0
AC004461.1	0.121731956
AC004466.1	0.045424054
AC004466.2	0.158456002
AC004466.3	0.089849777
AC004467.1	0
AC004470.1	0
AC004471.1	0.927212644
AC004471.2	0.259223134
AC004477.1	0.970120262
AC004477.2	0
AC004477.3	0.582043808
AC004485.1	0.031029714
AC004486.1	0.140366175
AC004490.1	0.16125705
AC004491.1	0
AC004492.1	0.220386245
AC004494.1	0.033203369
AC004494.2	0
AC004520.1	0.324044205
AC004522.1	0
AC004522.2	0.048096057
AC004528.1	0
AC004528.2	0
AC004540.1	0.778240545
AC004540.2	0.296646882
AC004542.1	0
AC004542.2	0
AC004543.1	0.04431615
AC004551.1	0.028439408
AC004552.1	1.127769611
AC004554.1	0
AC004584.1	0.208503853
AC004584.2	0.039884535
AC004584.3	0.131876285
AC004585.1	0.464098847
AC004585.2	0.011101602
AC004590.1	0
AC004593.1	0
AC004594.1	0.066205099
AC004596.1	0.495535132
AC004597.1	0
AC004623.1	0.107633865
AC004637.1	0.067853358
AC004656.1	3.788426638
AC004672.1	0
AC004672.2	0.056977907
AC004674.1	0
AC004674.2	0
AC004678.1	0.228831616
AC004678.2	0.065280077
AC004687.1	0.130821275
AC004690.1	0
AC004690.2	0
AC004691.1	0.11958069
AC004691.2	0.032043095
AC004692.1	0.154270371
AC004692.2	0.027141343
AC004696.1	0
AC004696.2	0
AC004702.1	0
AC004704.1	0.224393267
AC004706.1	0.204640788
AC004706.2	0
AC004706.3	0.299134013
AC004707.1	0.160095966
AC004754.1	0.196932115
AC004771.1	0.224393267
AC004771.2	0
AC004771.3	0.89034443
AC004771.4	0
AC004771.5	0.271538624
AC004775.1	0.021716679
AC004777.1	0.170933722
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0.006370339
AC004801.1	0.090848108
AC004801.2	0.37785349
AC004801.3	0
AC004801.4	0.005254711
AC004801.5	0.031326934
AC004801.6	0.150484595
AC004801.7	0.01650117
AC004803.1	3.222396488
AC004805.1	0
AC004805.2	0.033926679
AC004805.3	0
AC004808.1	0
AC004808.2	0.126928792
AC004812.1	0
AC004812.2	2.194411308
AC004816.1	4.270876117
AC004816.2	0.115159573
AC004817.1	0.022680526
AC004817.2	0
AC004817.3	0
AC004817.4	0.018044314
AC004824.1	0
AC004825.1	0
AC004825.2	0.682858303
AC004828.1	0
AC004830.1	0.215402758
AC004832.1	0.060765456
AC004832.2	0
AC004832.3	0
AC004832.4	0.494038047
AC004832.5	0.734034585
AC004832.6	0.069684628
AC004835.1	0.00562527
AC004835.2	0
AC004836.1	0.051585676
AC004837.1	0
AC004837.2	0.246072849
AC004837.3	0
AC004839.1	0.097920116
AC004840.1	0
AC004840.2	0
AC004846.1	0.975798034
AC004846.2	0.105229468
AC004847.1	0.530541539
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.093711515
AC004854.2	0.181570125
AC004858.1	0
AC004862.1	0.004281922
AC004865.1	0
AC004865.2	0.174640051
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0.043261004
AC004877.1	0.043948022
AC004877.2	0.163799593
AC004882.1	0.021154799
AC004882.2	0
AC004884.1	0.30757353
AC004884.2	1.018297469
AC004888.1	0.059790345
AC004889.1	1.366963077
AC004890.1	2.620039345
AC004890.2	0.40584919
AC004890.3	0.238942968
AC004893.1	0.093913334
AC004895.1	0.099711338
AC004898.1	0
AC004899.1	0
AC004899.2	0
AC004906.1	0.033751619
AC004908.1	0.21158709
AC004908.2	0.655245932
AC004908.3	0.10465702
AC004910.1	0
AC004911.1	0.431815345
AC004917.1	0.007854303
AC004918.1	1.337944857
AC004918.3	1.909283471
AC004920.1	0
AC004921.1	0.200782993
AC004923.1	0.143759643
AC004923.2	0.04431615
AC004923.3	0
AC004923.4	0.37617755
AC004925.1	0.066474225
AC004930.1	0
AC004936.1	0.045298225
AC004938.1	0.05309305
AC004941.1	0
AC004941.2	0.07172219
AC004943.1	0.096362165
AC004943.2	1.340769468
AC004943.3	0.081763297
AC004944.1	0
AC004945.1	0
AC004946.1	0.021774513
AC004947.1	0.08232191
AC004947.2	0.030611493
AC004948.1	0.097337258
AC004951.1	0.11392528
AC004951.2	0.952180165
AC004951.3	0.377369062
AC004951.4	0.070893032
AC004965.1	0
AC004967.1	10.97493917
AC004969.1	0.028291798
AC004972.1	0
AC004973.1	0.077256658
AC004975.1	0.314474218
AC004975.2	0.926168318
AC004980.1	1.072650324
AC004980.2	1.941261373
AC004980.3	0.537621678
AC004980.4	0.161109944
AC004982.1	0.187734458
AC004982.2	0.567144255
AC004986.1	0
AC004987.1	0
AC004987.2	0.156689245
AC004987.3	0.021209675
AC004987.4	0.096761298
AC004988.1	0.258540069
AC004990.1	1.7363137
AC004994.1	0
AC004997.1	0.05564833
AC005000.1	0.738140874
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	2.516685873
AC005005.4	0
AC005006.1	0.197019992
AC005008.1	0
AC005008.2	0
AC005009.1	0.060790555
AC005009.2	0
AC005011.1	0
