	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
A1BG	0.024239224
A1BG-AS1	0.408504265
A1CF	0
A2M	30.70192025
A2M-AS1	0.686626898
A2ML1	7.41929368
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.010425417
A3GALT2	0
A4GALT	14.77321425
A4GNT	0
AAAS	7.286194866
AACS	2.9744905
AACSP1	0.007182125
AADAC	2.212163459
AADACL2	0.004787139
AADACL2-AS1	0.07645853
AADACL3	0.011990903
AADACL4	0.015413069
AADACP1	1.23067072
AADAT	0.627044585
AAED1	7.202386071
AAGAB	21.15959393
AAK1	1.603085151
AAMDC	4.160457649
AAMP	31.58145142
AANAT	0.066508447
AAR2	10.38816476
AARD	0.271741603
AARS	26.52072386
AARS2	4.049695944
AARSD1	0.701265498
AARSP1	0
AASDH	3.239178594
AASDHPPT	10.98153101
AASS	1.649745581
AATBC	0.463198449
AATF	11.22114888
AATK	0.471862742
AB015752.1	0.083998558
ABALON	0.344424985
ABAT	0.333839096
ABBA01006766.1	0
ABCA1	8.506078807
ABCA10	0.103976323
ABCA11P	0.182719444
ABCA12	0.541405318
ABCA13	7.633687121
ABCA17P	0.040619321
ABCA2	2.102028528
ABCA3	0.998521555
ABCA4	2.057252815
ABCA5	1.915036889
ABCA6	0.197278784
ABCA7	0.945839623
ABCA8	0.101481136
ABCA9	0.146094439
ABCA9-AS1	0.162378483
ABCB1	0.255048325
ABCB10	7.956869969
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0.009425581
ABCB4	0.074504726
ABCB5	0.007867209
ABCB6	5.764576534
ABCB7	3.555514714
ABCB8	2.275185874
ABCB9	0.449311073
ABCC1	69.04520666
ABCC10	4.447870685
ABCC11	0.040208005
ABCC12	0.006511691
ABCC13	0.002264091
ABCC2	0.96603733
ABCC3	2.923978091
ABCC4	3.023969568
ABCC5	32.43180574
ABCC5-AS1	0.258801527
ABCC6	0.260129943
ABCC6P1	0.035376834
ABCC6P2	0.022540003
ABCC8	0.021489156
ABCC9	0.567514291
ABCD1	5.373546297
ABCD1P2	0.015162763
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.210144516
ABCD3	5.569275309
ABCD4	3.252800808
ABCE1	15.03807478
ABCF1	17.19632293
ABCF2	13.92789757
ABCF2P1	0.02600491
ABCF2P2	0
ABCF3	21.97250311
ABCG1	5.988585306
ABCG2	0.350513784
ABCG4	0.054195211
ABCG5	0
ABCG8	0.009109037
ABHD1	0.272641539
ABHD10	12.04538207
ABHD11	9.629632836
ABHD11-AS1	5.525087937
ABHD12	19.3907327
ABHD12B	0.038237867
ABHD13	3.947397196
ABHD14A	3.521899163
ABHD14A-ACY1	0.067307532
ABHD14B	11.01271317
ABHD15	6.102686984
