	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
A1BG	0.039335265
A1BG-AS1	0.470154761
A1CF	0
A2M	158.2846527
A2M-AS1	0.551136345
A2ML1	16.70421948
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0.005639434
A3GALT2	0.02567238
A4GALT	15.87550159
A4GNT	0.014829387
AAAS	7.616098104
AACS	3.911522267
AACSP1	0
AADAC	27.12882606
AADACL2	0.528260735
AADACL2-AS1	0.330870488
AADACL3	0
AADACL4	0
AADACP1	0.613495881
AADAT	1.004348985
AAED1	9.384453679
AAGAB	9.215634352
AAK1	3.417462713
AAMDC	9.434619548
AAMP	22.90053169
AANAT	0
AAR2	14.66010468
AARD	0.05444205
AARS	34.41378573
AARS2	2.04701095
AARSD1	0.418333654
AARSP1	0
AASDH	2.166938647
AASDHPPT	6.893837518
AASS	1.624623822
AATBC	0.781311555
AATF	14.53537601
AATK	0.105473273
AB015752.1	0.045437448
ABALON	0.069003797
ABAT	1.458148514
ABBA01006766.1	0
ABCA1	10.00533406
ABCA10	0.1624828
ABCA11P	0.338875419
ABCA12	0.14224778
ABCA13	2.613341708
ABCA17P	0.027964696
ABCA2	2.080225343
ABCA3	1.187952879
ABCA4	0.051238327
ABCA5	0.810359861
ABCA6	0.70895391
ABCA7	0.618355499
ABCA8	0.656395929
ABCA9	0.796017951
ABCA9-AS1	0.193238324
ABCB1	0.958960236
ABCB10	2.690460621
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0
ABCB4	0.213775493
ABCB5	0.019859557
ABCB6	1.236195392
ABCB7	5.190670031
ABCB8	1.583759824
ABCB9	0.138319099
ABCC1	17.19652951
ABCC10	2.979466637
ABCC11	0.025374729
ABCC12	0
ABCC13	0
ABCC2	0.037927729
ABCC3	1.248400265
ABCC4	1.864161524
ABCC5	23.55415192
ABCC5-AS1	0.111995074
ABCC6	0.225834756
ABCC6P1	0.030618298
ABCC6P2	0.048770371
ABCC8	0.003874719
ABCC9	2.398401829
ABCD1	3.734994724
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0.429434143
ABCD3	4.226365528
ABCD4	1.764034175
ABCE1	13.03291061
ABCF1	15.91564405
ABCF2	11.90330383
ABCF2P1	0
ABCF2P2	0
ABCF3	14.01155815
ABCG1	8.572645684
ABCG2	1.045529925
ABCG4	0.046067819
ABCG5	0.028239618
ABCG8	0.04927363
ABHD1	0.056723207
ABHD10	13.44873259
ABHD11	17.4282488
ABHD11-AS1	1.082518699
ABHD12	24.63146964
ABHD12B	0.088645966
ABHD13	4.703499397
ABHD14A	4.318239016
ABHD14A-ACY1	0
ABHD14B	17.10699075
ABHD15	6.602268652
ABHD15-AS1	0
ABHD16A	0.866364016
ABHD16B	0
ABHD17A	3.589269738
ABHD17AP1	0.028148816
ABHD17AP3	0.023098368
ABHD17AP4	0
ABHD17AP5	0
ABHD17AP6	0.025155982
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	9.567876603
ABHD17C	23.25785994
ABHD18	1.238088208
ABHD2	8.126376677
ABHD3	5.034814758
ABHD4	15.77706534
ABHD5	3.568501317
ABHD6	1.953797605
ABHD8	3.458139314
ABI1	21.75495028
ABI1P1	0
ABI2	1.747029076
ABI3	11.32424789
ABI3BP	5.502326782
ABL1	13.57499507
ABL2	4.788209721
ABLIM1	26.03935403
ABLIM2	0.911753586
ABLIM3	0.639759268
ABO	6.059384752
ABR	4.781995512
ABRA	0
ABRACL	52.21929006
ABRAXAS1	0.699036763
ABRAXAS2	7.171371769
ABT1	12.2453075
ABT1P1	0
ABTB1	2.643795907
ABTB2	1.029811938
AC000032.1	0
AC000036.1	0
AC000041.1	0
AC000041.2	0
AC000058.1	0
AC000061.1	0.139695984
AC000067.1	0.091508171
AC000068.1	0.025048016
AC000068.2	0.399651989
AC000068.3	0
AC000077.1	0
AC000078.1	0.115525711
AC000081.1	0
AC000089.1	1.311502869
AC000095.1	0
AC000099.1	0
AC000111.1	0
AC000111.2	0
AC000120.1	0.06611163
AC000123.1	0.712557809
AC000123.2	0.626662244
AC000123.3	0.22171648
AC000124.1	0
AC000362.1	0
AC000367.1	0
AC000372.1	0
AC000374.1	0
AC000403.1	0.344310659
AC001226.1	0.04872513
AC002044.1	0.831102689
AC002044.2	0.081225294
AC002044.3	0
AC002056.1	0.241894625
AC002056.2	0
AC002059.1	0.11011675
AC002064.1	0
AC002064.2	0.090874896
AC002064.3	0
AC002066.1	0.02165115
AC002069.1	0
AC002069.2	0
AC002070.1	0.051851619
AC002075.1	0
AC002075.2	0.521088194
AC002076.1	0.04983462
AC002076.2	0
AC002090.1	0
AC002091.1	1.603118005
AC002091.2	0.979956902
AC002094.1	0
AC002094.2	0
AC002094.3	0
AC002094.4	0.171093453
AC002094.5	0.041753331
AC002101.1	0
AC002115.1	0
AC002116.1	0
AC002116.2	0.326753903
AC002127.1	0
AC002127.2	0
AC002128.1	0.129246284
AC002128.2	0.127489539
AC002306.1	0
AC002310.1	0.287496934
AC002310.2	0.013692828
AC002310.3	0
AC002310.4	0
AC002310.5	0
AC002310.6	0.076290036
AC002347.1	0.048545
AC002347.2	0
AC002350.1	0.545945355
AC002351.1	0
AC002366.1	0
AC002367.1	0.389079185
AC002368.1	0
AC002375.1	0
AC002378.1	0
AC002381.1	0
AC002383.1	0
AC002386.1	0
AC002398.1	1.599142784
AC002398.2	0.039792189
AC002400.1	0
AC002401.1	0
AC002401.2	0
AC002401.3	0
AC002401.4	0
AC002428.1	0
AC002428.2	0
AC002429.1	0
AC002429.2	0
AC002451.1	0
AC002451.2	0
AC002454.1	0.275622061
AC002456.1	0.29844142
AC002456.2	0
AC002460.1	0
AC002463.1	0
AC002464.1	0
AC002465.1	0
AC002467.1	1.307804271
AC002470.1	1.861670023
AC002472.1	0
AC002480.1	0.020485839
AC002480.2	0.07559207
AC002480.3	0
AC002480.4	0
AC002486.1	0
AC002486.2	0
AC002487.1	0
AC002504.1	0
AC002511.1	0.183839915
AC002511.2	0
